"id_num";"ind_accda";"nombre_ind_accd";"ind_acciv";"nombre_ind_acciv";"total_mu30df";"total_hg30df";"total_hl30df";"fecha_accidente";"hora_accidente";"mes_1f";"nombre_mes";"anyo";"ccaa_1f";"nombre_ccaa";"provincia_1f";"nombre_provincia";"cod_municipio";"nombre_municipio";"carretera";"km";"sentido_1f";"nombre_sentido";"tipo_via_3f";"nombre_tipo_via";"titularidad_via_2f";"nombre_titularidad_via";"tipo_animal_1f";"nombre_tipo_animal_1f";"tipo_animal_2f";"nombre_tipo_animal_2f";"longitud";"latitud";"geom";"dia_semana";"nombre_dia_semana";"parte_dia";"luna";"prec";"tmin";"tmax";"sol";"uso_suelo";"altitud";"pendiente";"taxonkey";"tipo_dia";"tmed";"imd_total";"maxspeed"
202105134669;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2021-10-29;"21:05";10;Octubre;2021;8;Castilla y León;5;Ávila;0;;CL-510;49.596;2;Descendente;2;Resto vías interurbanas;2;Autonómica;8;Jabalí;1;Silvestre;-5.37389;40.57441;POINT (-5.37389 40.57441);5;Viernes;Noche;49;135.8;3.4;9.7;0.0;Cultivos;1188.021;5.604;"7705930";Diario;6.55;2150.0;90
201813054217;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2018-11-10;"19:15";11;Noviembre;2018;7;Castilla-La Mancha;13;Ciudad Real;0;;CM-3127;48.5;1;Ascendente;2;Resto vías interurbanas;2;Autonómica;8;Jabalí;1;Silvestre;-2.84379;38.66378;POINT (-2.84379 38.66378);6;Sábado;Noche;6;0.0;7.7;11.3;0.0;Cultivos;1486.09;-9999.0;"7705930";Finde;9.5;1057.0;80
202129151067;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2021-04-28;"9:20";4;Abril;2021;1;Andalucía;29;Málaga;29067;Málaga;A-7;246.8;2;Descendente;1;Autopista y autovía;1;Estatal;20;Canino;2;Doméstico;-4.38757;36.73977;POINT (-4.38757 36.73977);3;Miércoles;Día;;0.2;13.3;25.4;0.0;Artificial;404.61;24.3985;"";Diario;19.35;81139.0;80
202024118117;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2020-04-29;"23:20";4;Abril;2020;8;Castilla y León;24;León;0;;A-6;419.0;1;Ascendente;1;Autopista y autovía;1;Estatal;8;Jabalí;1;Silvestre;-6.92284;42.65927;POINT (-6.92284 42.65927);3;Miércoles;Noche;31;0.0;11.3;16.7;0.8;Monte desarbolado;908.888;-9999.0;"7705930";Diario;14.0;11294.0;120
201919085180;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2019-11-07;"17:30";11;Noviembre;2019;7;Castilla-La Mancha;19;Guadalajara;0;;N-211;15.0;2;Descendente;2;Resto vías interurbanas;1;Estatal;5;Corzo;1;Silvestre;-2.28937;41.04739;POINT (-2.28937 41.04739);4;Jueves;Día;;0.8;0.8;10.1;1.1;Monte desarbolado;1211.677;6.715;"5220126";Diario;5.45;2167.0;100
201622007773;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2016-11-16;"19:40";11;Noviembre;2016;2;Aragón;22;Huesca;0;;A-138;48.0;2;Descendente;2;Resto vías interurbanas;2;Autonómica;8;Jabalí;1;Silvestre;0.13682;42.42646;POINT (0.13682 42.42646);3;Miércoles;Noche;97;0.0;1.7;16.5;0.0;Agua;889.581;-9999.0;"7705930";Diario;9.1;3183.0;90
202009107872;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2020-11-01;"11:15";11;Noviembre;2020;8;Castilla y León;9;Burgos;9056;Briviesca;BU-720;1.5;2;Descendente;2;Resto vías interurbanas;3;Provincial, Cabildo/Consell;5;Corzo;1;Silvestre;-3.29974;42.55279;POINT (-3.29974 42.55279);7;Domingo;Día;;;;;;Cultivos;667.994;3.1035000000000004;"5220126";Finde;;28588.0;80
202022115526;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2020-09-20;"7:45";9;Septiembre;2020;2;Aragón;22;Huesca;0;;A-138;32.5;1;Ascendente;2;Resto vías interurbanas;2;Autonómica;5;Corzo;1;Silvestre;0.18658;42.31778;POINT (0.18658 42.31778);7;Domingo;Amanecer;;4.4;8.3;21.8;4.3;Agua;676.722;-9999.0;"5220126";Finde;15.05;8719.0;90
201833067498;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2018-08-26;"3:55";8;Agosto;2018;3;Asturias, Principado de;33;Asturias;33066;Siero;AS-I;19.5;1;Ascendente;1;Autopista y autovía;2;Autonómica;8;Jabalí;1;Silvestre;-5.68389;43.39788;POINT (-5.68389 43.39788);7;Domingo;Noche;100;0.0;12.9;24.6;12.6;Cultivos;286.618;4.854;"7705930";Finde;18.75;13583.0;120
201645019816;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2016-08-05;"22:30";8;Agosto;2016;7;Castilla-La Mancha;45;Toledo;0;;CM-4015;10.1;1;Ascendente;2;Resto vías interurbanas;2;Autonómica;1;Ave;1;Silvestre;-4.50585;39.9417;POINT (-4.50585 39.9417);5;Viernes;Noche;5;0.0;19.4;36.2;0.0;Cultivos;469.479;5.477;"";Diario;27.8;4809.0;80
202109137880;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2021-07-14;"8:00";7;Julio;2021;8;Castilla y León;9;Burgos;0;;BU-V-9012;2.091;1;Ascendente;2;Resto vías interurbanas;3;Provincial, Cabildo/Consell;5;Corzo;1;Silvestre;-3.69806;42.15021;POINT (-3.69806 42.15021);3;Miércoles;Día;;0.0;8.4;19.8;7.3;Cultivos;861.501;1.6564999999999999;"5220126";Diario;14.100000000000001;20108.0;80
201609001684;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2016-06-18;"23:30";6;Junio;2016;8;Castilla y León;9;Burgos;0;;N-627;41.05;1;Ascendente;2;Resto vías interurbanas;1;Estatal;5;Corzo;1;Silvestre;-3.8781;42.64228;POINT (-3.8781 42.64228);6;Sábado;Noche;94;0.0;6.7;18.5;0.0;Cultivos;859.776;-9999.0;"5220126";Finde;12.6;3685.0;120
201835068452;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2018-11-11;"10:00";11;Noviembre;2018;5;Canarias;35;Palmas, Las;0;;LZ-10;15.9;1;Ascendente;2;Resto vías interurbanas;3;Provincial, Cabildo/Consell;20;Canino;2;Doméstico;-13.51526;29.11976;POINT (-13.51526 29.11976);7;Domingo;Día;;0.0;14.7;24.5;9.1;Cultivos;-999.0;-9999.0;"";Finde;19.6;9351.0;90
202040127440;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2020-03-11;"9:20";3;Marzo;2020;8;Castilla y León;40;Segovia;0;;SG-332;6.9;2;Descendente;2;Resto vías interurbanas;2;Autonómica;5;Corzo;1;Silvestre;-4.3379;41.19147;POINT (-4.3379 41.19147);3;Miércoles;Día;;0.0;8.7;23.9;9.6;Monte arbolado;783.383;0.32;"5220126";Diario;16.299999999999997;6489.0;80
201605000579;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2016-05-02;"22:10";5;Mayo;2016;8;Castilla y León;5;Ávila;5019;Ávila;AV-500;4.7;2;Descendente;2;Resto vías interurbanas;2;Autonómica;8;Jabalí;1;Silvestre;-4.62939;40.66461;POINT (-4.62939 40.66461);1;Lunes;Noche;30;0.0;0.6;18.3;13.5;Monte desarbolado;1557.235;-9999.0;"7705930";Diario;9.450000000000001;4176.0;90
